Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Age,Intake Date,Outcome Date,Days in Shelter,Intake Type,Outcome Type,Intake Condition
ESTRELLITA,DOG,MALTESE/POODLE MIN,WHITE,Spayed,TOY,11/2/2007,K16-018209,TRUCK,A224418,8.40,3/25/2016,3/25/2016,0,STRAY,RETURN TO OWNER,HEALTHY
BEAR,DOG,YORKSHIRE TERR/MIX,BLUE/TAN,Neutered,PUPPY,3/1/2016,K16-018211,LOBBY,A334889,0.07,3/25/2016,5/24/2016,60,CONFISCATE,ADOPTION,HEALTHY
JAC,DOG,SCHNAUZER MIN/POODLE MIN,BLACK/WHITE,Neutered,SMALL,3/25/2015,K16-018217,DS49,A334894,1.00,3/25/2016,3/25/2016,0,STRAY,RETURN TO OWNER,HEALTHY
MAX,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,3/25/2015,K16-018214,CA02,A334892,1.00,3/25/2016,4/2/2016,8,STRAY,RETURN TO OWNER,HEALTHY
ROSIE,DOG,YORKSHIRE TERR/MIX,BLACK/BROWN,Spayed,SMALL,4/1/2014,K16-018210,CA03,A334888,1.98,3/25/2016,4/1/2016,7,CONFISCATE,RETURN TO OWNER,TREATABLE/REHAB
MYRTLE MAE,CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,SMALL,8/18/2007,K16-018216,CA02,A326088,8.61,3/25/2016,4/5/2016,11,CONFISCATE,RETURN TO OWNER,HEALTHY
,CAT,SIAMESE/MIX,FLAME PT,Unknown,SMALL,,K16-018218,CS06,A334896,116.31,3/25/2016,3/29/2016,4,STRAY,TRANSFER,HEALTHY
*COURTNEY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,SMALL,5/31/2015,K16-018219,CS04,A334924,0.82,3/26/2016,4/5/2016,10,STRAY,ADOPTION,HEALTHY
LUNA,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,4/8/2012,K16-018221,DS88,A285668,3.97,3/26/2016,4/28/2016,33,OWNER SURRENDER,TRANSFER,HEALTHY
BENTLEY,DOG,PIT BULL/BORDER COLLIE,BLACK/WHITE,Neutered,LARGE,3/26/2015,K16-018225,DA17,A334937,1.00,3/26/2016,5/14/2016,49,OWNER SURRENDER,ADOPTION,HEALTHY
,OTHER,RABBIT SH,GRAY/WHITE,Female,SMALL,9/26/2014,K16-018222,CA01,A334934,1.50,3/26/2016,4/9/2016,14,OWNER SURRENDER,TRANSFER,TREATABLE/MANAGEABLE
JUPITER,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,3/4/2015,K16-018220,CS05,A333822,1.06,3/26/2016,3/26/2016,0,ADOPTION RETURN,ADOPTION,HEALTHY
*BIANCA,OTHER,RABBIT SH,WHITE/BLUE,Spayed,SMALL,3/26/2014,K16-018224,CA01,A334936,2.00,3/26/2016,4/8/2016,13,OWNER SURRENDER,ADOPTION,HEALTHY
*KARL,OTHER,RABBIT SH,WHITE/TAN,Neutered,SMALL,3/26/2013,K16-018223,CA01,A334935,3.00,3/26/2016,4/20/2016,25,OWNER SURRENDER,TRANSFER,HEALTHY
LAYLA,DOG,SIBERIAN HUSKY,BLACK/WHITE,Female,MED,3/29/2014,K16-018227,DS83,A334939,1.99,3/26/2016,3/29/2016,3,STRAY,RETURN TO OWNER,HEALTHY
YOGI,DOG,MALTESE,WHITE,Neutered,SMALL,4/8/2010,K16-018226,TRUCK,A298268,5.97,3/26/2016,3/26/2016,0,STRAY,RETURN TO OWNER,HEALTHY
,DOG,PIT BULL,GRAY/WHITE,Male,LARGE,,K16-018230,DQ114,A334942,116.32,3/27/2016,4/5/2016,9,STRAY,EUTHANIZE,UNTREATABLE
CHEYANNE,DOG,QUEENSLAND HEEL,BLUE MERLE,Female,LARGE,3/27/2000,K16-018229,TRUCK,A334941,16.01,3/27/2016,3/27/2016,0,STRAY,RETURN TO OWNER,HEALTHY
,OTHER,PARAKEET,GRAY,Unknown,SMALL,,K16-018235,LOBBY,A334949,116.32,3/28/2016,4/5/2016,8,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,,K16-018236,TRUCK,A334951,116.32,3/28/2016,3/28/2016,0,OWNER SURRENDER,ESCAPED/STOLEN,HEALTHY
,CAT,DOMESTIC SH,WHITE/BRN TABBY,Spayed,SMALL,,K16-018240,CA02,A334954,116.32,3/28/2016,4/6/2016,9,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
*TOM,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,4/11/2010,K16-018234,CI01,A334948,5.97,3/28/2016,4/13/2016,16,STRAY,ADOPTION,TREATABLE/MANAGEABLE
OGGY,DOG,LABRADOR RETR/MIX,BROWN/WHITE,Neutered,LARGE,3/29/2011,K16-018237,DS77,A334952,5.00,3/28/2016,3/29/2016,1,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,3/29/2012,K16-018239,CA02,A334953,4.00,3/28/2016,4/6/2016,9,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
MITSUKO,DOG,POMERANIAN,BLACK,Neutered,TOY,10/10/2006,K16-018238,DS53,A312645,9.47,3/28/2016,3/29/2016,1,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,3/29/2008,K16-018241,CA02,A334955,8.00,3/28/2016,4/6/2016,9,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
,DOG,LABRADOR RETR,BLACK/BLACK,Neutered,LARGE,,K16-018250,DQ117,A334985,116.32,3/29/2016,4/12/2016,14,STRAY,EUTHANIZE,HEALTHY
,CAT,DOMESTIC SH,BLACK/BLACK,Female,SMALL,,K16-018242,TX,A334963,116.32,3/29/2016,3/30/2016,1,STRAY,EUTHANIZE,UNKNOWN
,CAT,DOMESTIC SH,BRN TABBY,Unknown,SMALL,,K16-018243,CS06,A334965,116.32,3/29/2016,4/7/2016,9,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
GIGI,DOG,POODLE MIN/MIX,BLACK,Spayed,SMALL,4/13/2010,K16-018246,DA45,A334967,5.96,3/29/2016,4/13/2016,15,STRAY,ADOPTION,HEALTHY
,OTHER,GOOSE,WHITE,Unknown,SMALL,,K16-018262,LS03,A335006,116.32,3/29/2016,4/13/2016,15,STRAY,ADOPTION,HEALTHY
*PEARL,DOG,RAT TERRIER/MIX,BLACK/WHITE,Female,TOY,3/29/2001,K16-018253,CA03,A334992,15.01,3/29/2016,4/9/2016,11,STRAY,TRANSFER,TREATABLE/MANAGEABLE
,OTHER,GOOSE,GRAY,Unknown,SMALL,,K16-018260,LS03,A335004,116.32,3/29/2016,4/13/2016,15,STRAY,ADOPTION,HEALTHY
DEJA,DOG,PIT BULL,GRAY/WHITE,Spayed,LARGE,11/21/2008,K16-018244,DS68,A236239,7.36,3/29/2016,3/29/2016,0,STRAY,RETURN TO OWNER,HEALTHY
,CAT,SIAMESE,SEAL PT,Neutered,SMALL,4/1/2011,K16-018254,CS06,A334993,5.00,3/29/2016,4/2/2016,4,STRAY,RETURN TO OWNER,HEALTHY
,OTHER,GOOSE,WHITE,Unknown,SMALL,,K16-018261,LS03,A335005,116.32,3/29/2016,4/13/2016,15,STRAY,ADOPTION,HEALTHY
BELLA,DOG,LABRADOR RETR,BLACK,Female,LARGE,3/30/2013,K16-018255,DS86,A334996,3.00,3/29/2016,3/30/2016,1,STRAY,RETURN TO OWNER,HEALTHY
BLITZ,DOG,GERM SHEPHERD,TAN/BLACK,Neutered,LARGE,8/19/2012,K16-018245,DS84,A334969,3.61,3/29/2016,3/30/2016,1,STRAY,RETURN TO OWNER,HEALTHY
SARABI,CAT,DOMESTIC MH,BLACK/WHITE,Spayed,SMALL,3/29/2003,K16-018248,SMM,A334973,13.01,3/29/2016,3/29/2016,0,STRAY,RETURN TO OWNER,TREATABLE/MANAGEABLE
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K16-018251,CS06,A334989,116.32,3/29/2016,4/7/2016,9,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
,OTHER,GOOSE,GRAY,Unknown,SMALL,,K16-018258,LS03,A335002,116.32,3/29/2016,4/13/2016,15,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC LH,BLACK/WHITE,Unknown,SMALL,,K16-018252,CS06,A334990,116.32,3/29/2016,4/7/2016,9,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
,OTHER,GOOSE,GRAY,Unknown,SMALL,,K16-018259,LS03,A335003,116.32,3/29/2016,4/13/2016,15,STRAY,ADOPTION,HEALTHY
CALI,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,SMALL,3/29/2015,K16-018249,CS06,A334976,1.00,3/29/2016,3/29/2016,0,STRAY,RETURN TO OWNER,HEALTHY
TOBY,DOG,CHIHUAHUA SH/PARSON RUSS TER,BROWN,Neutered,SMALL,,K16-018270,DS94,A335045,116.33,3/30/2016,5/26/2016,57,OWNER SURRENDER,TRANSFER,TREATABLE/MANAGEABLE
MAC,DOG,PIT BULL,BLACK/WHITE,Neutered,LARGE,5/19/2012,K16-018269,DS84,A283779,3.87,3/30/2016,4/5/2016,6,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,,K16-018268,CS06,A335042,116.33,3/30/2016,4/7/2016,8,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
MILLIE,DOG,LABRADOR RETR,YELLOW,Spayed,LARGE,3/24/2009,K16-018267,DS68,A267388,7.02,3/30/2016,3/30/2016,0,STRAY,RETURN TO OWNER,HEALTHY
CANDY,DOG,LABRADOR RETR/MIX,YELLOW,Spayed,LARGE,3/8/2008,K16-018266,DS76,A260362,8.07,3/30/2016,3/31/2016,1,STRAY,RETURN TO OWNER,HEALTHY
,DOG,ENG BULLDOG,BROWN/WHITE,Female,LARGE,3/31/2003,K16-018283,DQ113,A335084,13.01,3/31/2016,4/8/2016,8,CONFISCATE,EUTHANIZE,UNTREATABLE
BABY GIRL,DOG,RAT TERRIER,TAN/WHITE,Female,SMALL,,K16-018274,DS90,A335053,116.33,3/31/2016,3/31/2016,0,CONFISCATE,RETURN TO OWNER,HEALTHY
*STOGIE,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,3/31/2012,K16-018280,CS04,A335077,4.00,3/31/2016,4/9/2016,9,STRAY,ADOPTION,HEALTHY
PEANUT,DOG,CHIHUAHUA SH,TAN,Male,SMALL,,K16-018273,DS90,A335052,116.33,3/31/2016,3/31/2016,0,CONFISCATE,RETURN TO OWNER,HEALTHY
STELLA,DOG,GREAT PYRENEES,WHITE,Spayed,MED,12/2/2012,K16-018281,TRUCK,A331696,3.33,3/31/2016,3/31/2016,0,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,GRAY TABBY,Unknown,SMALL,,K16-018278,CS06,A335060,116.33,3/31/2016,4/7/2016,7,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,BRN TABBY,Unknown,SMALL,,K16-018279,CS06,A335061,116.33,3/31/2016,4/7/2016,7,OWNER SURRENDER,EUTHANIZE,UNTREATABLE
,OTHER,BAT,BLACK,Unknown,SMALL,,K16-018298,TRUCK,A335115,116.33,4/1/2016,4/1/2016,0,QUARANTINE,EUTHANIZE,UNTREATABLE
,OTHER,BAT,BROWN,Unknown,SMALL,,K16-018293,TRUCK,A335105,116.33,4/1/2016,4/1/2016,0,QUARANTINE,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K16-018292,EUTH,A335106,116.33,4/1/2016,4/1/2016,0,STRAY,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,ORG TABBY,Unknown,SMALL,,K16-018301,RECEIVING,A335118,116.33,4/1/2016,4/1/2016,0,STRAY,EUTHANIZE,UNTREATABLE
NEWT,DOG,PIT BULL,BLACK,Spayed,LARGE,1/21/2015,K16-018297,DA29,A335114,1.19,4/1/2016,5/5/2016,34,OWNER SURRENDER,ADOPTION,HEALTHY
ODDY,DOG,BOXER/PIT BULL,WHITE,Neutered,LARGE,1/21/2015,K16-018296,DS76,A335113,1.19,4/1/2016,4/26/2016,25,OWNER SURRENDER,TRANSFER,TREATABLE/MANAGEABLE
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Unknown,SMALL,,K16-018291,CS06,A335104,116.33,4/1/2016,4/5/2016,4,STRAY,TRANSFER,HEALTHY
DIAMONDS,CAT,DOMESTIC SH,SLVR TIGER,Spayed,SMALL,,K16-018299,CS06,A335116,116.33,4/1/2016,4/13/2016,12,STRAY,RETURN TO OWNER,TREATABLE/MANAGEABLE
BEAUTY,DOG,POODLE MIN,WHITE,Female,SMALL,2/24/2014,K16-018288,DS54,A335098,2.10,4/1/2016,4/8/2016,7,STRAY,RETURN TO OWNER,HEALTHY
*BLAKE,DOG,PIT BULL/MIX,BLUE/WHITE,Neutered,MED,8/14/2015,K16-018290,DA21,A335099,0.63,4/1/2016,4/21/2016,20,STRAY,ADOPTION,HEALTHY
SPOT,DOG,PARSON RUSS TER/MIX,WHITE/GRAY,Male,SMALL,4/5/2006,K16-018289,DQ110,A335097,10.00,4/1/2016,4/5/2016,4,QUARANTINE,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC LH,BRN TABBY/WHITE,Unknown,SMALL,,K16-018300,TRUCK,A335117,116.33,4/1/2016,4/1/2016,0,STRAY,EUTHANIZE,UNTREATABLE
CILO,DOG,PIT BULL,BLUE,Neutered,MED,,K16-018305,TRUCK,A335127,116.33,4/2/2016,4/2/2016,0,STRAY,RETURN TO OWNER,HEALTHY
PRINCESS,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,,K16-018303,TRUCK,A262002,116.33,4/2/2016,4/2/2016,0,STRAY,RETURN TO OWNER,HEALTHY
CHARLIE,DOG,CHIHUAHUA SH/MIX,RED,Neutered,TOY,1/8/2014,K16-018308,DA48,A324125,2.23,4/2/2016,5/5/2016,33,OWNER SURRENDER,ADOPTION,HEALTHY
DUKE,DOG,GERM SHEPHERD/MIX,BROWN,Neutered,MED,,K16-018310,DS68,A335142,116.33,4/2/2016,4/2/2016,0,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,ORANGE,Neutered,SMALL,,K16-018304,VET,A335125,116.33,4/2/2016,4/2/2016,0,STRAY,RETURN TO OWNER,UNTREATABLE
LOUIE,DOG,MIN PINSCHER,BLACK/TAN,Male,TOY,7/28/2013,K16-018313,DS77,A335146,2.68,4/2/2016,4/5/2016,3,STRAY,RETURN TO OWNER,HEALTHY
,CAT,SIAMESE,GRAY/BROWN,Unknown,SMALL,,K16-018315,COOLER,A335147,116.33,4/2/2016,4/2/2016,0,STRAY,EUTHANIZE,HEALTHY
KODA,DOG,SIBERIAN HUSKY,SILVER,Neutered,LARGE,4/2/2001,K16-018302,DI100,A298320,15.01,4/2/2016,4/2/2016,0,STRAY,RETURN TO OWNER,TREATABLE/REHAB
OLIVER,DOG,CHIHUAHUA SH/MIX,TAN,Male,SMALL,4/5/2015,K16-018314,DS94,A335144,0.99,4/2/2016,4/5/2016,3,STRAY,RETURN TO OWNER,HEALTHY
SOKO,DOG,CHOW CHOW/LABRADOR RETR,BLACK,Neutered,LARGE,4/2/2002,K16-018317,DS70,A335151,14.01,4/2/2016,4/2/2016,0,STRAY,RETURN TO OWNER,HEALTHY
CHARLES,DOG,PARSON RUSS TER/MIX,BLACK/WHITE,Neutered,MED,4/25/2015,K16-018312,DA09,A335145,0.94,4/2/2016,5/6/2016,34,STRAY,ADOPTION,HEALTHY
MAKO,DOG,AUST CATTLE DOG,BLUE MERLE,Male,MED,12/18/2010,K16-018318,DQ115,A305941,5.30,4/3/2016,4/12/2016,9,QUARANTINE,EUTHANIZE,UNTREATABLE
CHANEL,OTHER,DWARF HOTOT,WHITE,Neutered,SMALL,4/15/2015,K16-018321,CA01,A335157,0.97,4/4/2016,4/30/2016,26,STRAY,ADOPTION,HEALTHY
,DOG,CHIHUAHUA SH/MIX,TAN/WHITE,Male,SMALL,,K16-018326,TX,A335163,116.34,4/4/2016,4/5/2016,1,STRAY,EUTHANIZE,UNTREATABLE
,DOG,LABRADOR RETR/MIX,YELLOW/WHITE,Male,MED,,K16-018323,DS70,A335159,116.34,4/4/2016,4/12/2016,8,STRAY,EUTHANIZE,UNTREATABLE
,DOG,PIT BULL/MIX,WHITE/BROWN,Male,LARGE,,K16-018319,DS80,A335154,116.34,4/4/2016,4/26/2016,22,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
,DOG,CHIHUAHUA SH/MIX,TAN/WHITE,Spayed,SMALL,,K16-018325,CA03,A335162,116.34,4/4/2016,4/12/2016,8,STRAY,EUTHANIZE,UNTREATABLE
BRUISER,DOG,PIT BULL/MIX,BR BRINDLE,Neutered,LARGE,10/5/2009,K16-018328,DS63,A268990,6.50,4/4/2016,4/13/2016,9,STRAY,RETURN TO OWNER,HEALTHY
CHUCHE,DOG,SIBERIAN HUSKY,GRAY/WHITE,Neutered,MED,,K16-018320,DQ118,A314834,116.34,4/4/2016,4/14/2016,10,STRAY,RETURN TO OWNER,HEALTHY
BRUNO,DOG,CHIHUAHUA SH,FAWN,Neutered,SMALL,4/5/1998,K16-018322,TX,A335158,18.01,4/4/2016,4/5/2016,1,STRAY,RETURN TO OWNER,HEALTHY
SNEAKERS,DOG,POMERANIAN,TAN,Neutered,MED,2/11/2010,K16-018327,TRUCK,A349338,6.15,4/4/2016,4/4/2016,0,CONFISCATE,RETURN TO OWNER,HEALTHY
,DOG,PIT BULL/MIX,TAN/WHITE,Male,LARGE,,K16-018324,DS61,A335160,116.34,4/4/2016,4/5/2016,1,STRAY,TRANSFER,HEALTHY
,DOG,CHIHUAHUA SH,TAN/WHITE,Female,TOY,4/12/2001,K16-018331,DS50,A335171,14.99,4/5/2016,4/13/2016,8,STRAY,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,,K16-018350,RECEIVING,A335201,116.34,4/5/2016,4/5/2016,0,STRAY,ESCAPED/STOLEN,HEALTHY
,CAT,DOMESTIC SH,BLACK/WHITE,Female,KITTN,3/15/2016,K16-018339,RECEIVING,A335183,0.06,4/5/2016,4/5/2016,0,STRAY,TRANSFER,TREATABLE/REHAB
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,,K16-018341,RECEIVING,A335185,116.34,4/5/2016,4/5/2016,0,STRAY,TRANSFER,TREATABLE/REHAB
DAISY,DOG,CHIHUAHUA SH,BLACK/TAN,Female,TOY,4/7/2010,K16-018336,CA03,A335178,6.00,4/5/2016,4/7/2016,2,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,,K16-018343,RECEIVING,A335187,116.34,4/5/2016,4/5/2016,0,STRAY,TRANSFER,HEALTHY
BELLE,DOG,CHIHUAHUA SH/MIX,BROWN/WHITE,Female,SMALL,4/6/2008,K16-018349,DS95,A335195,8.00,4/5/2016,4/6/2016,1,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,,K16-018344,RECEIVING,A335188,116.34,4/5/2016,4/5/2016,0,STRAY,TRANSFER,HEALTHY
*DARLA,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,4/5/2015,K16-018347,CS04,A335192,1.00,4/5/2016,4/19/2016,14,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,ORG TABBY,Unknown,KITTN,,K16-018346,RECEIVING,A335190,116.34,4/5/2016,4/5/2016,0,STRAY,TRANSFER,HEALTHY
HAZEL,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,10/5/2015,K16-018334,CS04,A335177,0.50,4/5/2016,4/12/2016,7,OWNER SURRENDER,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,CALICO,Female,SMALL,,K16-018342,RECEIVING,A335186,116.34,4/5/2016,4/5/2016,0,STRAY,TRANSFER,HEALTHY
TT,DOG,CHIHUAHUA SH/MIX,FAWN/BLACK,Female,SMALL,4/5/2015,K16-018333,DS51,A335175,1.00,4/5/2016,4/7/2016,2,CONFISCATE,RETURN TO OWNER,HEALTHY
PANDA,DOG,PAPILLON/WELSH CORGI CAR,TAN/WHITE,Neutered,SMALL,,K16-018348,DS90,A335194,116.34,4/5/2016,4/9/2016,4,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,,K16-018340,RECEIVING,A335184,116.34,4/5/2016,4/5/2016,0,STRAY,TRANSFER,TREATABLE/REHAB
KENAI,DOG,CHIHUAHUA SH,BLACK/TAN,Male,PUPPY,2/20/2016,K16-018335,CA03,A335179,0.12,4/5/2016,4/7/2016,2,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,,K16-018345,RECEIVING,A335189,116.34,4/5/2016,4/5/2016,0,STRAY,TRANSFER,HEALTHY
PRINCESS,DOG,PIT BULL,BLUE,Spayed,MED,2/7/2015,K16-018351,DS84,A335207,1.16,4/6/2016,4/7/2016,1,STRAY,RETURN TO OWNER,HEALTHY
*SASHA,CAT,SIAMESE/MIX,SEAL PT,Spayed,SMALL,4/6/2012,K16-018352,CS04,A335235,4.00,4/6/2016,4/20/2016,14,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,4/2/2016,K16-018353,RECEIVING,A335238,0.01,4/6/2016,4/6/2016,0,STRAY,TRANSFER,TREATABLE/REHAB
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,4/2/2016,K16-018355,RECEIVING,A335240,0.01,4/6/2016,4/6/2016,0,STRAY,TRANSFER,TREATABLE/REHAB
,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,4/2/2016,K16-018356,RECEIVING,A335241,0.01,4/6/2016,4/6/2016,0,STRAY,TRANSFER,TREATABLE/REHAB
BLUE,DOG,PIT BULL/MIX,BROWN/WHITE,Neutered,MED,5/7/2013,K16-018357,DS62,A305238,2.92,4/6/2016,4/7/2016,1,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,4/2/2016,K16-018354,RECEIVING,A335239,0.01,4/6/2016,4/6/2016,0,STRAY,TRANSFER,TREATABLE/REHAB
,CAT,DOMESTIC SH,GRAY TABBY,Unknown,KITTN,4/7/2016,K16-018366,CS06,A335300,0.00,4/7/2016,4/7/2016,0,STRAY,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,GRAY TABBY,Unknown,KITTN,4/7/2016,K16-018367,CS06,A335301,0.00,4/7/2016,4/7/2016,0,STRAY,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,GRAY TABBY,Unknown,KITTN,4/7/2016,K16-018365,CS06,A335299,0.00,4/7/2016,4/7/2016,0,STRAY,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,GRAY TABBY,Unknown,KITTN,4/7/2016,K16-018363,CS06,A335297,0.00,4/7/2016,4/7/2016,0,STRAY,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,GRAY TABBY,Unknown,KITTN,4/7/2016,K16-018364,CS06,A335298,0.00,4/7/2016,4/7/2016,0,STRAY,EUTHANIZE,UNTREATABLE
BRUCE,DOG,SIBERIAN HUSKY/MIX,GRAY/WHITE,Male,LARGE,4/7/2014,K16-018361,TRUCK,A335287,2.00,4/7/2016,4/7/2016,0,STRAY,RETURN TO OWNER,HEALTHY
*CALLIE,DOG,GERM SHEPHERD/POINTER,BROWN/WHITE,Spayed,PUPPY,2/8/2016,K16-018372,DA45,A335353,0.16,4/7/2016,4/13/2016,6,OWNER SURRENDER,ADOPTION,HEALTHY
MR DARCY,DOG,POODLE MIN/MIX,WHITE,Neutered,SMALL,1/12/2010,K16-018371,DS94,A305676,6.24,4/7/2016,4/8/2016,1,STRAY,RETURN TO OWNER,HEALTHY
*ASLAN,CAT,DOMESTIC LH,GRAY TABBY,Neutered,SMALL,4/7/2014,K16-018368,CS05,A335348,2.00,4/7/2016,4/19/2016,12,STRAY,ADOPTION,TREATABLE/REHAB
RUSTY,DOG,GERM SHEPHERD/POINTER,BROWN,Neutered,PUPPY,2/8/2016,K16-018378,DA45,A335359,0.16,4/7/2016,4/13/2016,6,OWNER SURRENDER,ADOPTION,HEALTHY
RILEY,DOG,GERM SHEPHERD/POINTER,BROWN,Spayed,PUPPY,2/8/2016,K16-018381,DA46,A335362,0.16,4/7/2016,4/15/2016,8,OWNER SURRENDER,ADOPTION,HEALTHY
BUDDY,DOG,GERM SHEPHERD/POINTER,BROWN,Neutered,PUPPY,2/8/2016,K16-018374,DA46,A335355,0.16,4/7/2016,4/12/2016,5,OWNER SURRENDER,ADOPTION,HEALTHY
HANNAH,DOG,GERM SHEPHERD/POINTER,BROWN,Spayed,PUPPY,2/8/2016,K16-018380,DA46,A335361,0.16,4/7/2016,4/16/2016,9,OWNER SURRENDER,ADOPTION,HEALTHY
NALA,DOG,GERM SHEPHERD/POINTER,BROWN,Spayed,PUPPY,2/8/2016,K16-018377,DA05,A335358,0.16,4/7/2016,4/16/2016,9,OWNER SURRENDER,ADOPTION,HEALTHY
*IZZY,DOG,GERM SHEPHERD/POINTER,BROWN,Spayed,PUPPY,2/8/2016,K16-018376,DA05,A335357,0.16,4/7/2016,4/16/2016,9,OWNER SURRENDER,ADOPTION,HEALTHY
*OSCAR,DOG,ROTTWEILER/MIX,BLACK/TAN,Neutered,LARGE,4/7/2015,K16-018359,DQ115,A335284,1.00,4/7/2016,5/17/2016,40,STRAY,TRANSFER,HEALTHY
FRANK,DOG,GERM SHEPHERD/POINTER,BROWN,Neutered,PUPPY,2/8/2016,K16-018375,DA45,A335356,0.16,4/7/2016,4/14/2016,7,OWNER SURRENDER,ADOPTION,HEALTHY
MADISON,DOG,GERM SHEPHERD/POINTER,BROWN,Spayed,PUPPY,2/8/2016,K16-018379,DA05,A335360,0.16,4/7/2016,4/15/2016,8,OWNER SURRENDER,ADOPTION,HEALTHY
ANDREW,DOG,GERM SHEPHERD/POINTER,BROWN/WHITE,Neutered,PUPPY,2/8/2016,K16-018373,DA46,A335354,0.16,4/7/2016,4/14/2016,7,OWNER SURRENDER,ADOPTION,HEALTHY
COOPER,DOG,LABRADOR RETR/GERM SHEPHERD,YELLOW,Neutered,LARGE,4/7/2015,K16-018360,DA38,A335285,1.00,4/7/2016,5/10/2016,33,STRAY,ADOPTION,HEALTHY
*FANCI,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,5/29/2011,K16-018382,CS05,A292523,4.86,4/7/2016,5/19/2016,42,STRAY,ADOPTION,HEALTHY
KRACKER JACK,DOG,BOXER,WHITE,Male,LARGE,4/13/2007,K16-018358,DS66,A335268,8.99,4/7/2016,4/13/2016,6,STRAY,RETURN TO OWNER,TREATABLE/MANAGEABLE
CASPER,DOG,PIT BULL,BROWN/WHITE,Neutered,LARGE,11/15/2010,K16-018398,DS62,A316481,5.40,4/8/2016,4/28/2016,20,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
,DOG,GERM SHEPHERD,BROWN,Male,LARGE,,K16-018397,DS81,A335403,116.35,4/8/2016,5/24/2016,46,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
,DOG,PIT BULL,BLUE/WHITE,Female,MED,,K16-018400,DS64,A335411,116.35,4/8/2016,5/10/2016,32,STRAY,EUTHANIZE,HEALTHY
